trial,failed,cause,disp_r_R_m,disp_r_T_m,disp_r_N_m,disp_v_R_mps,disp_v_T_mps,disp_v_N_mps,disp_r_norm_m,disp_v_norm_mps,predicted_miss_m,t_closest_s,min_range_m,r_cor_entry_t_s,r_cor_entry_speed_mps,dv_tag_total_mps,dv_node_total_mps,tag_ddm_duty,tag_medt_duty,tag_sat_cmd_frac,terminal_sat_frac,terminal_sat_steps,terminal_steps
257,True,no_R_COR_large_alongtrack_velocity_dispersion,34.30692430847829,-56.92704137653587,2.4467277663384515,-0.0031543141420737296,0.04732076694404318,0.0007316880450315422,66.51044709033353,0.0474314247021379,7.455410029308222e-05,6855.0,34.51480499149773,nan,nan,0.8732395820797721,0.0,0.5655794587092297,1.0,0.2970159611380985,0.0,0,0
261,True,no_R_COR_moderate_coupled_dispersion,49.76411712990323,-38.716482221164256,-11.441420718344414,0.013315367198413839,-0.008095415111725547,0.000909801739987115,64.08072609884049,0.015609692138726925,7.455410029308222e-05,6835.0,39.864510224431,nan,nan,0.7443282552507262,0.0,0.30673143650242884,1.0,0.2727272727272727,0.0,0,0
270,True,no_R_COR_large_alongtrack_position_dispersion,47.661609240397354,-165.90544015096685,-2.572490784856079,-0.008800499875470873,0.01435185055382067,0.006736249005805163,172.6350537286925,0.018132883473004964,7.455410029308222e-05,6615.0,80.7616082864066,nan,nan,0.7497461778021266,0.0,0.6287300485773768,1.0,0.31297709923664124,0.0,0,0
271,True,no_R_COR_large_alongtrack_velocity_dispersion,42.95837384990541,15.514938106379276,-14.981740854032374,0.011572008311435993,0.049109418691680964,-0.009983951097643447,48.068573385221235,0.05143272946397948,7.455410029308222e-05,6705.0,60.787842741783706,nan,nan,0.9729205334026989,0.0,0.2643997224149896,1.0,0.3608605135322693,0.0,0,0
291,True,no_R_COR_moderate_coupled_dispersion,37.13361005652766,-126.3805717586746,-10.066574531646427,0.01714088653069577,0.031124975023347615,0.006337425747094462,132.1071150115729,0.03609344852410388,7.455410029308222e-05,6745.0,57.4013006444578,nan,nan,0.769637651927037,0.0,0.5537820957668286,1.0,0.2997918112421929,0.0,0,0
328,True,no_R_COR_moderate_coupled_dispersion,44.21850856918519,-144.42389198906005,18.537540858903597,-0.0006228479683722185,0.011901849883729922,-0.005098397426728709,152.1748254424703,0.012962855648637814,7.455410029308222e-05,6645.0,81.61492792955383,nan,nan,0.751983670105572,0.0,0.5912560721721027,1.0,0.3164469118667592,0.0,0,0
332,True,no_R_COR_moderate_coupled_dispersion,-47.999247679131926,129.98029388271652,1.305133146931091,-0.0007577938225534452,0.00312497534670729,-0.009900831846498918,138.56589749332707,0.010409908436085098,7.455410029308222e-05,6930.0,11.490153786365562,nan,nan,0.8359917533905792,0.0,0.3414295628036086,1.0,0.1963913948646773,0.0,0,0
333,True,no_R_COR_moderate_coupled_dispersion,45.11110273764953,41.34813088290889,-0.05008044729211747,-0.01890858642043664,0.024074718570404552,0.007151161302164933,61.19380708673171,0.031436695478896694,7.455410029308222e-05,6730.0,60.0789549092294,nan,nan,0.9291200606753933,0.0,0.3060374739764053,1.0,0.3608605135322693,0.0,0,0
334,True,no_R_COR_large_alongtrack_position_dispersion,40.42149646011836,-195.3541884605821,-3.8140293788713997,0.002883205387677102,0.0038037354400951365,-0.0032032445988431956,199.52870255998477,0.00574822168725112,7.455410029308222e-05,6785.0,45.656893310962346,nan,nan,0.7313793625910285,0.0,0.5933379597501734,1.0,0.25260235947258847,0.0,0,0
345,True,no_R_COR_moderate_coupled_dispersion,41.37954447768573,-59.59835930125533,2.7289359220515728,-0.005200262720906582,0.031620734591457575,0.003986102228082817,72.60632358031195,0.03229245421832443,7.455410029308222e-05,6755.0,61.36046913374815,nan,nan,0.7990537597257229,0.0,0.5954198473282443,1.0,0.3240804996530187,0.0,0,0
